idx,flower_name
35,alpine sea holly
48,buttercup
21,fire lily
80,anthurium
65,californian poppy
94,foxglove
29,artichoke
96,camellia
81,frangipani
72,azalea
90,canna lily
23,fritillary
93,ball moss
3,canterbury bells
32,garden phlox
19,balloon flower
37,cape flower
57,gaura
41,barbeton daisy
31,carnation
71,gazania
68,bearded iris
61,cautleya spicata
58,geranium
92,bee balm
82,clematis
20,giant white arum lily
8,bird of paradise
12,colt's foot
10,globe thistle
56,bishop of llandaff
84,columbine
16,globe-flower
63,black-eyed susan
50,common dandelion
25,grape hyacinth
102,blackberry lily
26,corn poppy
38,great masterwort
100,blanket flower
88,cyclamen 
2,hard-leaved pocket orchid
45,bolero deep blue
42,daffodil
83,hibiscus
95,bougainvillea
85,desert-rose
91,hippeastrum 
99,bromelia
5,english marigold
62,japanese anemone
13,king protea
18,peruvian lily
28,stemless gentian
40,lenten rose
51,petunia
54,sunflower
78,lotus
22,pincushion flower
4,sweet pea
33,love in the mist
1,pink primrose
30,sweet william
87,magnolia
60,pink-yellow dahlia?
43,sword lily
97,mallow
44,poinsettia
75,thorn apple
47,marigold
53,primula
6,tiger lily
34,mexican aster
27,prince of wales feathers
79,toad lily
98,mexican petunia
17,purple coneflower
86,tree mallow
9,monkshood
24,red ginger
70,tree poppy
7,moon orchid
74,rose
101,trumpet creeper
76,morning glory
36,ruby-lipped cattleya
46,wallflower
59,orange dahlia
39,siam tulip
73,water lily
66,osteospermum
64,silverbush
89,watercress
49,oxeye daisy
11,snapdragon
52,wild pansy
77,passion flower
14,spear thistle
69,windflower
55,pelargonium
67,spring crocus
15,yellow iris
